SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,I014_ND,TSD,I014_TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,I014_PUMP_STORAGE_PUMPING,FRENCH_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,I014_FRENCH_FLOW,I014_BRITNED_FLOW,I014_MOYLE_FLOW,I014_EAST_WEST_FLOW,I014_TSD.1
01-Apr-2005,1,32926,32774,34286,34544,29566,0,0,0,0,0,690,1100,1988,0,-170,0,1969,0,-170,0,34544
01-Apr-2005,2,32154,32032,33885,34331,28871,0,0,0,0,0,1061,1615,1989,0,-170,0,1969,0,-170,0,34331
01-Apr-2005,3,33633,33495,35082,35599,30340,0,0,0,0,0,779,1335,1989,0,-170,0,1969,0,-170,0,35599
01-Apr-2005,4,34574,34460,36028,36322,31253,0,0,0,0,0,784,1192,1990,0,-170,0,1969,0,-170,0,36322
01-Apr-2005,5,34720,34641,36179,36508,31325,0,0,0,0,0,789,1197,1988,0,-170,0,1969,0,-170,0,36508
01-Apr-2005,6,34452,34347,35921,36231,31094,0,0,0,0,0,799,1214,1990,0,-170,0,1968,0,-170,0,36231
01-Apr-2005,7,33818,33854,35362,35957,30442,0,0,0,0,0,874,1433,1989,0,-170,0,1969,0,-170,0,35957
01-Apr-2005,8,32951,33020,34607,35236,29664,0,0,0,0,0,986,1546,1990,0,-170,0,1968,0,-170,0,35236
01-Apr-2005,9,32448,32525,34347,34977,29167,0,0,0,0,0,1229,1782,1989,0,-170,0,1969,0,-170,0,34977
01-Apr-2005,10,32212,32287,34103,34732,28920,0,0,0,0,0,1221,1774,1989,0,-170,0,1968,0,-170,0,34732
01-Apr-2005,11,32277,32367,33828,34475,28929,0,0,0,0,0,881,1438,1840,0,-170,0,1820,0,-170,0,34475
01-Apr-2005,12,32932,33048,34348,35018,29545,0,0,0,0,0,765,1319,1840,0,-151,0,1821,0,-151,0,35018
01-Apr-2005,13,35262,35386,36254,36784,31766,0,0,0,0,0,431,837,1653,0,-61,0,1632,0,-61,0,36784
01-Apr-2005,14,37114,37298,38024,38568,33515,0,0,0,0,0,349,709,1651,0,-61,0,1633,0,-61,0,38568
01-Apr-2005,15,40192,40391,40766,40964,36320,0,0,0,0,0,13,13,1660,0,-61,0,1642,0,-61,0,40964
01-Apr-2005,16,42487,42585,43156,43254,38546,0,0,0,0,0,9,8,1660,0,-160,0,1642,0,-160,0,43254
01-Apr-2005,17,44064,44139,44760,44835,39975,0,0,0,0,0,7,8,1660,0,-189,0,1642,0,-189,0,44835
01-Apr-2005,18,44642,44707,45339,45405,40610,0,0,0,0,0,6,2,1659,0,-191,0,1643,0,-191,0,45405
01-Apr-2005,19,45506,45552,46209,46256,41379,0,0,0,0,0,7,7,1963,0,-196,0,1944,0,-196,0,46256
01-Apr-2005,20,45602,45660,46305,46363,41478,0,0,0,0,0,7,8,1964,0,-196,0,1943,0,-196,0,46363
01-Apr-2005,21,45578,45675,46277,46375,41425,0,0,0,0,0,4,5,1963,0,-195,0,1944,0,-195,0,46375
01-Apr-2005,22,45739,45831,46438,46530,41537,0,0,0,0,0,3,4,1964,0,-196,0,1943,0,-196,0,46530
01-Apr-2005,23,45664,45748,46363,46447,41445,0,0,0,0,0,3,4,1964,0,-196,0,1944,0,-196,0,46447
01-Apr-2005,24,45451,45574,46150,46273,41208,0,0,0,0,0,3,4,1964,0,-196,0,1943,0,-196,0,46273
01-Apr-2005,25,45465,45582,46164,46280,41217,0,0,0,0,0,3,3,1964,0,-196,0,1944,0,-196,0,46280
01-Apr-2005,26,44914,44995,45613,45695,40687,0,0,0,0,0,3,4,1965,0,-196,0,1944,0,-196,0,45695
01-Apr-2005,27,44417,44489,45118,45190,40184,0,0,0,0,0,5,6,1965,0,-196,0,1944,0,-196,0,45190
01-Apr-2005,28,43898,43996,44602,44700,39689,0,0,0,0,0,8,9,1965,0,-196,0,1944,0,-196,0,44700
01-Apr-2005,29,43755,43840,44458,44544,39539,0,0,0,0,0,8,9,1965,0,-195,0,1944,0,-195,0,44544
01-Apr-2005,30,43171,43228,43875,43932,38976,0,0,0,0,0,8,9,1966,0,-196,0,1942,0,-196,0,43932
01-Apr-2005,31,42770,42842,43474,43546,38604,0,0,0,0,0,8,9,1635,0,-196,0,1616,0,-196,0,43546
01-Apr-2005,32,42543,42597,43247,43301,38393,0,0,0,0,0,8,9,1634,0,-196,0,1617,0,-196,0,43301
01-Apr-2005,33,42359,42406,43062,43109,38191,0,0,0,0,0,7,8,1635,0,-196,0,1616,0,-196,0,43109
01-Apr-2005,34,42534,42609,43235,43310,38326,0,0,0,0,0,5,6,1635,0,-196,0,1617,0,-196,0,43310
01-Apr-2005,35,42678,42671,43381,43374,38483,0,0,0,0,0,7,8,1917,0,-196,0,1900,0,-196,0,43374
01-Apr-2005,36,42327,42328,43118,43029,38166,0,0,0,0,0,6,6,1918,0,-285,0,1898,0,-285,0,43029
01-Apr-2005,37,41819,41835,42597,42535,37755,0,0,0,0,0,5,5,1918,0,-273,0,1899,0,-273,0,42535
01-Apr-2005,38,41542,41584,42247,42289,37505,0,0,0,0,0,9,10,1918,0,-196,0,1898,0,-196,0,42289
01-Apr-2005,39,41545,41599,42250,42306,37549,0,0,0,0,0,9,11,1989,0,-196,0,1970,0,-196,0,42306
01-Apr-2005,40,42752,42812,43457,43524,38535,0,0,0,0,0,9,9,1990,0,-196,0,1968,0,-196,0,43524
01-Apr-2005,41,44053,44089,44760,44801,39726,0,0,0,0,0,11,8,1990,0,-196,0,1969,0,-196,0,44801
01-Apr-2005,42,43483,43489,44191,44196,39293,0,0,0,0,0,12,12,1991,0,-196,0,1968,0,-196,0,44196
01-Apr-2005,43,41975,42008,42681,42713,37888,0,0,0,0,0,10,11,1854,0,-196,0,1833,0,-196,0,42713
01-Apr-2005,44,40457,40472,41161,41182,36513,0,0,0,0,0,9,15,1852,0,-195,0,1833,0,-195,0,41182
01-Apr-2005,45,38680,38714,39358,39396,34840,0,0,0,0,0,8,5,1853,0,-170,0,1833,0,-170,0,39396
01-Apr-2005,46,37325,37353,38002,38031,33542,0,0,0,0,0,7,5,1852,0,-170,0,1834,0,-170,0,38031
01-Apr-2005,47,35493,35487,36336,36458,31809,0,0,0,0,0,177,305,1990,0,-166,0,1971,0,-166,0,36458
01-Apr-2005,48,33716,33753,34711,35120,30131,0,0,0,0,0,332,612,1991,0,-163,0,1970,0,-163,0,35120
02-Apr-2005,1,31871,31906,33322,33638,28412,0,0,0,0,0,790,1071,1990,0,-161,0,1971,0,-161,0,33638
02-Apr-2005,2,30931,31004,32505,32856,27552,0,0,0,0,0,913,1191,1991,0,-161,0,1970,0,-161,0,32856
02-Apr-2005,3,32219,32246,33460,33710,28910,0,0,0,0,0,580,738,1990,0,-161,0,1971,0,-161,0,33710
02-Apr-2005,4,32862,32933,33993,34225,29645,0,0,0,0,0,470,631,1990,0,-161,0,1970,0,-161,0,34225
02-Apr-2005,5,32653,32725,33815,34047,29452,0,0,0,0,0,501,661,1990,0,-161,0,1971,0,-161,0,34047
02-Apr-2005,6,32378,32420,33606,33807,29185,0,0,0,0,0,567,726,1991,0,-161,0,1970,0,-161,0,33807
02-Apr-2005,7,31783,31812,33206,33444,28512,0,0,0,0,0,762,924,1991,0,-161,0,1971,0,-161,0,33444
02-Apr-2005,8,31357,31396,32889,33087,28045,0,0,0,0,0,871,1030,1991,0,-161,0,1970,0,-161,0,33087
02-Apr-2005,9,30679,30697,32210,32446,27288,0,0,0,0,0,870,1225,1990,0,-161,0,1971,0,-161,0,32446
02-Apr-2005,10,30322,30359,31977,32416,26874,0,0,0,0,0,994,1548,1991,0,-161,0,1971,0,-161,0,32416
02-Apr-2005,11,29999,30049,31739,32032,26606,0,0,0,0,0,1079,1569,1991,0,-161,0,1971,0,-161,0,32032
02-Apr-2005,12,30121,30183,31676,31891,26758,0,0,0,0,0,894,1200,1991,0,-161,0,1971,0,-161,0,31891
02-Apr-2005,13,31057,31130,32507,32734,27717,0,0,0,0,0,789,1032,1991,0,-161,0,1971,0,-161,0,32734
02-Apr-2005,14,31524,31602,32896,33124,28257,0,0,0,0,0,711,866,1991,0,-161,0,1971,0,-161,0,33124
