"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CPI","TOT","AGRWTH","A","2005",2.691832,
"AUS","CPI","TOT","AGRWTH","A","2006",3.555288,
"AUS","CPI","TOT","AGRWTH","A","2007",2.327611,
"AUS","CPI","TOT","AGRWTH","A","2008",4.350298,
"AUS","CPI","TOT","AGRWTH","A","2009",1.771117,
"AUS","CPI","TOT","AGRWTH","A","2010",2.91834,
"AUS","CPI","TOT","AGRWTH","A","2011",3.30385,
"AUS","CPI","TOT","AGRWTH","A","2012",1.76278,
"AUS","CPI","TOT","AGRWTH","A","2013",2.449889,
"AUS","CPI","TOT","AGRWTH","A","2014",2.487923,
"AUS","CPI","TOT","AGRWTH","A","2015",1.508367,
"AUS","CPI","TOT","AGRWTH","A","2016",1.276991,
"AUS","CPI","TOT","AGRWTH","A","2017",1.948647,
"AUS","CPI","TOT","AGRWTH","A","2018",1.911401,
"AUS","CPI","TOT","AGRWTH","A","2019",1.610768,
"AUT","CPI","TOT","AGRWTH","A","2005",2.299138,
"AUT","CPI","TOT","AGRWTH","A","2006",1.441547,
"AUT","CPI","TOT","AGRWTH","A","2007",2.168556,
"AUT","CPI","TOT","AGRWTH","A","2008",3.215951,
"AUT","CPI","TOT","AGRWTH","A","2009",0.5063094,
"AUT","CPI","TOT","AGRWTH","A","2010",1.813532,
"AUT","CPI","TOT","AGRWTH","A","2011",3.286583,
"AUT","CPI","TOT","AGRWTH","A","2012",2.485675,
"AUT","CPI","TOT","AGRWTH","A","2013",2.000158,
"AUT","CPI","TOT","AGRWTH","A","2014",1.605806,
"AUT","CPI","TOT","AGRWTH","A","2015",0.8965653,
"AUT","CPI","TOT","AGRWTH","A","2016",0.8915924,
"AUT","CPI","TOT","AGRWTH","A","2017",2.081269,
"AUT","CPI","TOT","AGRWTH","A","2018",1.998382,
"AUT","CPI","TOT","AGRWTH","A","2019",1.530896,
"BEL","CPI","TOT","AGRWTH","A","2005",2.781433,
"BEL","CPI","TOT","AGRWTH","A","2006",1.791208,
"BEL","CPI","TOT","AGRWTH","A","2007",1.823056,
"BEL","CPI","TOT","AGRWTH","A","2008",4.489444,
"BEL","CPI","TOT","AGRWTH","A","2009",-0.05314567,
"BEL","CPI","TOT","AGRWTH","A","2010",2.189299,
"BEL","CPI","TOT","AGRWTH","A","2011",3.532082,
"BEL","CPI","TOT","AGRWTH","A","2012",2.839664,
"BEL","CPI","TOT","AGRWTH","A","2013",1.113096,
"BEL","CPI","TOT","AGRWTH","A","2014",0.3400028,
"BEL","CPI","TOT","AGRWTH","A","2015",0.5614291,
"BEL","CPI","TOT","AGRWTH","A","2016",1.973853,
"BEL","CPI","TOT","AGRWTH","A","2017",2.125971,
"BEL","CPI","TOT","AGRWTH","A","2018",2.053165,
"BEL","CPI","TOT","AGRWTH","A","2019",1.43682,
"CAN","CPI","TOT","AGRWTH","A","2005",2.213552,
"CAN","CPI","TOT","AGRWTH","A","2006",2.002025,
